target,q,arm,model,run,tokens_in,tokens_out,cache_read,cache_creation,total_tokens,tool_uses,result_bytes,db_result_bytes,num_turns,duration_ms,build_ms,bringup_ms,cost_usd,used_db_tools,audit_clean,review_count,target_ok,valid,answer_path
entropic,Q1,src,haiku,1,249,9365,2150574,141566,2301754,30,58932,0,31,98060,,,0.546684,0,True,0,n/a,True,Q1_haiku_src_r1.md
entropic,Q1,src,sonnet,1,36,13331,1535839,181069,1730275,17,46966,0,18,137619,,,1.748655,0,True,0,n/a,True,Q1_sonnet_src_r1.md
entropic,Q1,mcp,haiku,1,57,4260,407575,75780,487672,6,43904,31199,7,45290,,,0.21517,3,True,3,ok,True,Q1_haiku_mcp_r1.md
entropic,Q1,mcp,sonnet,1,18,9087,747884,97955,854944,8,35906,32653,9,90122,,,0.949955,5,True,3,ok,True,Q1_sonnet_mcp_r1.md
entropic,Q2,src,haiku,1,425,13916,4942292,118973,5075606,52,150904,0,53,162855,,,0.803577,0,True,0,n/a,True,Q2_haiku_src_r1.md
entropic,Q2,src,sonnet,1,6,4150,399397,13575,417128,41,92629,0,3,47415,,,4.165912,0,False,0,n/a,True,Q2_sonnet_src_r1.md
entropic,Q2,mcp,haiku,1,473,12378,5030812,76080,5119743,58,116682,86700,59,154603,,,0.719076,34,True,24,ok,True,Q2_haiku_mcp_r1.md
entropic,Q2,mcp,sonnet,1,20,9079,1018444,74044,1101587,9,68764,65958,10,102844,,,0.887499,3,True,6,ok,True,Q2_sonnet_mcp_r1.md
entropic,Q3,src,haiku,1,241,7553,2239856,89689,2337339,29,87773,0,30,91445,,,0.442748,0,True,0,n/a,True,Q3_haiku_src_r1.md
entropic,Q3,src,sonnet,1,22,5185,819132,83310,907649,10,18261,0,11,61992,,,0.824824,0,True,0,n/a,True,Q3_sonnet_src_r1.md
entropic,Q3,mcp,haiku,1,57,2672,412765,35201,450695,6,21611,21611,7,32306,,,0.126538,6,True,0,ok,True,Q3_haiku_mcp_r1.md
entropic,Q3,mcp,sonnet,1,12,2550,463074,43564,509200,6,13026,13026,7,34563,,,0.440055,6,True,0,ok,True,Q3_sonnet_mcp_r1.md
entropic,Q7,src,haiku,1,113,3971,1144511,96875,1245470,13,115605,0,14,46462,,,0.329597,0,True,0,n/a,True,Q7_haiku_src_r1.md
entropic,Q7,src,sonnet,1,16,2879,564345,87617,654857,7,25944,0,8,35891,,,0.739667,0,True,0,n/a,True,Q7_sonnet_src_r1.md
entropic,Q7,mcp,haiku,1,97,4989,827025,65155,897266,11,97869,16702,12,56610,,,0.239558,8,True,3,ok,True,Q7_haiku_mcp_r1.md
entropic,Q7,mcp,sonnet,1,26,3582,1067161,46229,1116998,12,13411,3076,13,114440,,,0.652838,2,True,10,ok,True,Q7_sonnet_mcp_r1.md
entropic,Q9,src,haiku,1,241,7537,2237177,90610,2335565,29,98870,0,30,89498,,,0.444285,0,True,0,n/a,True,Q9_haiku_src_r1.md
entropic,Q9,src,sonnet,1,10,4023,359022,96224,459279,8,50868,0,9,45813,,,0.746842,0,True,0,n/a,True,Q9_sonnet_src_r1.md
entropic,Q9,mcp,haiku,1,105,5390,968307,69172,1042974,25,121902,98821,26,61323,,,0.263711,22,True,3,ok,True,Q9_haiku_mcp_r1.md
entropic,Q9,mcp,sonnet,1,22,7035,1098337,118450,1223844,19,178438,111881,20,83790,,,1.147283,17,True,2,ok,True,Q9_sonnet_mcp_r1.md
entropic,Q10,src,haiku,1,193,5095,1647926,80175,1733389,26,65405,0,27,60155,,,0.352211,0,True,0,n/a,True,Q10_haiku_src_r1.md
entropic,Q10,src,sonnet,1,18,4819,683130,89891,777858,15,32538,0,16,53706,,,0.818029,0,True,0,n/a,True,Q10_sonnet_src_r1.md
entropic,Q10,mcp,haiku,1,97,2742,739531,36506,778876,11,24856,24856,12,33497,,,0.162242,11,True,0,ok,True,Q10_haiku_mcp_r1.md
entropic,Q10,mcp,sonnet,1,24,4130,1034116,55451,1093721,15,37907,19715,16,52971,,,0.706433,6,True,9,ok,True,Q10_sonnet_mcp_r1.md
entropic,Q12,src,haiku,1,361,8580,3898140,104947,4012028,44,130507,0,45,113401,,,0.644376,0,True,0,n/a,True,Q12_haiku_src_r1.md
entropic,Q12,src,sonnet,1,22,6102,827003,91479,924606,18,35189,0,19,74768,,,0.889958,0,True,0,n/a,True,Q12_sonnet_src_r1.md
entropic,Q12,mcp,haiku,1,169,6871,1646433,58784,1712257,25,88425,57401,26,78507,,,0.318207,8,True,17,ok,True,Q12_haiku_mcp_r1.md
entropic,Q12,mcp,sonnet,1,16,8013,717436,65124,790589,10,58798,46113,11,84114,,,0.72769,4,True,6,ok,True,Q12_sonnet_mcp_r1.md
