target,q,arm,model,run,tokens_in,tokens_out,cache_read,cache_creation,total_tokens,tool_uses,result_bytes,db_result_bytes,num_turns,duration_ms,build_ms,bringup_ms,cost_usd,used_db_tools,audit_clean,review_count,target_ok,valid,answer_path
mbedtls,Q0,mcp,haiku,1,25,1664,120491,61981,184161,2,4640,4640,3,18908,,,0.145869,2,True,0,ok,True,Q0_haiku_mcp_r1.md
mbedtls,Q0,mcp,sonnet,1,8,2372,285976,50644,339000,5,23751,23751,6,29932,,,0.426774,5,True,0,ok,True,Q0_sonnet_mcp_r1.md
mbedtls,Q1,src,haiku,1,105,3163,736165,139604,879037,12,76890,0,13,35772,,,0.37014,0,True,0,n/a,True,Q1_haiku_src_r1.md
mbedtls,Q1,src,sonnet,1,12,4045,349302,170977,524336,9,38023,0,10,46468,,,1.192759,0,True,0,n/a,True,Q1_sonnet_src_r1.md
mbedtls,Q1,mcp,haiku,1,81,3555,639145,46236,689017,9,51882,51882,10,37872,,,0.175718,9,True,0,ok,True,Q1_haiku_mcp_r1.md
mbedtls,Q1,mcp,sonnet,1,12,3765,489639,54453,547869,5,34590,34359,6,44597,,,0.531591,4,True,1,ok,True,Q1_sonnet_mcp_r1.md
mbedtls,Q2,src,haiku,1,201,5626,1575945,71052,1652824,24,33907,0,25,66222,,,0.329454,0,True,0,n/a,True,Q2_haiku_src_r1.md
mbedtls,Q2,src,sonnet,1,18,4085,640758,79486,724347,11,9163,0,12,48723,,,0.731881,0,True,0,n/a,True,Q2_sonnet_src_r1.md
mbedtls,Q2,mcp,haiku,1,97,4383,785846,42729,833055,16,34845,21132,17,40717,,,0.187539,6,True,10,ok,True,Q2_haiku_mcp_r1.md
mbedtls,Q2,mcp,sonnet,1,12,2945,460612,44069,507638,9,9853,3329,10,32330,,,0.448293,3,True,6,ok,True,Q2_sonnet_mcp_r1.md
mbedtls,Q3,src,haiku,1,129,3249,998178,69168,1070724,15,35036,0,16,40060,,,0.255922,0,True,0,n/a,True,Q3_haiku_src_r1.md
mbedtls,Q3,src,sonnet,1,12,3185,392919,80306,476422,10,11983,0,11,37863,,,0.648917,0,True,0,n/a,True,Q3_sonnet_src_r1.md
mbedtls,Q3,mcp,haiku,1,49,2446,353558,36461,392514,7,22406,19361,8,32671,,,0.122026,5,True,2,ok,True,Q3_haiku_mcp_r1.md
mbedtls,Q3,mcp,sonnet,1,10,2529,382368,46755,431662,4,19608,17994,5,30934,,,0.434674,3,True,1,ok,True,Q3_sonnet_mcp_r1.md
mbedtls,Q4,src,haiku,1,257,5508,2188453,78265,2272483,31,58306,0,32,72921,,,0.404593,0,True,0,n/a,True,Q4_haiku_src_r1.md
mbedtls,Q4,src,sonnet,1,44,3917,472056,78918,554935,8,10362,0,9,46068,,,0.675443,0,True,0,n/a,True,Q4_sonnet_src_r1.md
mbedtls,Q4,mcp,haiku,1,113,4219,952337,45176,1001845,13,45920,36751,14,47009,,,0.2083,6,True,7,ok,True,Q4_haiku_mcp_r1.md
mbedtls,Q4,mcp,sonnet,1,10,4886,378930,45451,429277,7,12236,11151,8,55114,,,0.461201,4,True,3,ok,True,Q4_sonnet_mcp_r1.md
mbedtls,Q5,src,haiku,1,153,4273,1377039,86805,1468270,18,77759,0,19,50631,,,0.334228,0,True,0,n/a,True,Q5_haiku_src_r1.md
mbedtls,Q5,src,sonnet,1,421,4143,406101,82940,493605,9,19654,0,10,45670,,,0.684274,0,True,0,n/a,True,Q5_sonnet_src_r1.md
mbedtls,Q5,mcp,haiku,1,105,3942,841991,53633,899671,12,77629,71072,13,46011,,,0.212751,11,True,1,ok,True,Q5_haiku_mcp_r1.md
mbedtls,Q5,mcp,sonnet,1,10,3522,406517,64041,474090,8,56466,50979,9,42446,,,0.560537,6,True,2,ok,True,Q5_sonnet_mcp_r1.md
mbedtls,Q6,src,haiku,1,193,5602,1619432,84851,1710078,23,72658,0,24,65217,,,0.361223,0,True,0,n/a,True,Q6_haiku_src_r1.md
mbedtls,Q6,src,sonnet,1,24,5372,909392,92362,1007150,14,35852,0,15,64312,,,0.909017,0,True,0,n/a,True,Q6_sonnet_src_r1.md
mbedtls,Q6,mcp,haiku,1,89,5151,755488,54746,815474,21,68355,68355,22,49527,,,0.212345,21,True,0,ok,True,Q6_haiku_mcp_r1.md
mbedtls,Q6,mcp,sonnet,1,12,4157,482417,63978,550564,7,54414,54414,8,45836,,,0.592444,7,True,0,ok,True,Q6_sonnet_mcp_r1.md
mbedtls,Q7,src,haiku,1,73,4158,475135,58885,538251,8,5861,0,9,47767,,,0.187585,0,True,0,n/a,True,Q7_haiku_src_r1.md
mbedtls,Q7,src,sonnet,1,12,2025,382213,74062,458312,5,1713,0,6,28433,,,0.59089,0,True,0,n/a,True,Q7_sonnet_src_r1.md
mbedtls,Q7,mcp,haiku,1,113,4770,863120,35241,903244,13,10253,8591,14,64920,,,0.182275,7,True,6,ok,True,Q7_haiku_mcp_r1.md
