target,q,arm,model,run,tokens_in,tokens_out,cache_read,cache_creation,total_tokens,tool_uses,result_bytes,db_result_bytes,num_turns,duration_ms,build_ms,bringup_ms,cost_usd,used_db_tools,audit_clean,review_count,target_ok,valid,answer_path
self,Q1,src,haiku,1,145,5935,1299707,152551,1458338,17,118659,0,18,73041,,,0.466284,0,True,0,n/a,True,Q1_haiku_src_r1.md
self,Q1,src,sonnet,1,28,6492,1411596,202780,1620896,13,121287,0,14,84825,,,1.739024,0,True,0,n/a,True,Q1_sonnet_src_r1.md
self,Q1,mcp,haiku,1,161,5702,1474285,96140,1576288,22,107542,41418,23,73332,,,0.369861,15,True,7,ok,True,Q1_haiku_mcp_r1.md
self,Q1,mcp,sonnet,1,26,5973,1160026,112329,1278354,12,72292,72292,13,75677,,,1.113131,12,True,0,ok,True,Q1_sonnet_mcp_r1.md
self,Q2,src,haiku,1,185,4693,1583431,86061,1674370,22,92745,0,23,63615,,,0.355511,0,True,0,n/a,True,Q2_haiku_src_r1.md
self,Q2,src,sonnet,1,18,5061,790942,111073,907094,10,88051,0,11,65526,,,0.981091,0,True,0,n/a,True,Q2_sonnet_src_r1.md
self,Q2,mcp,haiku,1,129,5204,1156363,56040,1217736,24,85268,52087,25,61046,,,0.255341,13,True,11,ok,True,Q2_haiku_mcp_r1.md
self,Q2,mcp,sonnet,1,22,4943,930685,54500,990150,15,37651,5255,16,62824,,,0.681893,7,True,8,ok,True,Q2_sonnet_mcp_r1.md
self,Q3,src,haiku,1,105,4414,847895,94843,947257,12,126024,0,13,48329,,,0.298043,0,True,0,n/a,True,Q3_haiku_src_r1.md
self,Q3,src,sonnet,1,14,3103,558838,101706,663661,6,70224,0,7,39206,,,0.825867,0,True,0,n/a,True,Q3_sonnet_src_r1.md
self,Q3,mcp,haiku,1,97,4251,831623,54909,890880,15,82299,42622,16,46855,,,0.21579,10,True,5,ok,True,Q3_haiku_mcp_r1.md
self,Q3,mcp,sonnet,1,14,3410,575860,57156,636440,7,46240,41387,8,40081,,,0.568344,5,True,2,ok,True,Q3_sonnet_mcp_r1.md
self,Q4,src,haiku,1,185,4790,1765625,95362,1865962,22,124848,0,23,67315,,,0.392869,0,True,0,n/a,True,Q4_haiku_src_r1.md
self,Q4,src,sonnet,1,12,3222,419110,102159,524503,5,73708,0,6,42136,,,0.788485,0,True,0,n/a,True,Q4_sonnet_src_r1.md
self,Q4,mcp,haiku,1,129,3751,1180031,65840,1249751,15,123661,19772,16,51802,,,0.270074,9,True,6,ok,True,Q4_haiku_mcp_r1.md
self,Q4,mcp,sonnet,1,12,2912,469033,51669,523626,7,34169,14749,8,35158,,,0.495947,5,True,2,ok,True,Q4_sonnet_mcp_r1.md
self,Q5,src,haiku,1,89,4101,700670,78647,783507,10,72545,0,11,51103,,,0.24938,0,True,0,n/a,True,Q5_haiku_src_r1.md
self,Q5,src,sonnet,1,16,3528,692382,110209,806135,7,88153,0,8,49702,,,0.923337,0,True,0,n/a,True,Q5_sonnet_src_r1.md
self,Q5,mcp,haiku,1,153,4393,1462210,59578,1526334,18,92070,5269,19,62082,,,0.288975,5,True,13,ok,True,Q5_haiku_mcp_r1.md
self,Q5,mcp,sonnet,1,34,5572,1687082,74548,1767236,16,79838,17516,17,74166,,,1.038575,8,True,8,ok,True,Q5_sonnet_mcp_r1.md
self,Q6,src,haiku,1,161,5980,1352585,77272,1435998,19,64320,0,20,75496,,,0.3213,0,True,0,n/a,True,Q6_haiku_src_r1.md
self,Q6,src,sonnet,1,46,9870,2172752,111064,2293732,22,81930,0,23,129173,,,1.467819,0,True,0,n/a,True,Q6_sonnet_src_r1.md
self,Q6,mcp,haiku,1,217,7770,1985857,56125,2049969,26,76887,41186,27,98625,,,0.351404,10,True,15,ok,True,Q6_haiku_mcp_r1.md
self,Q6,mcp,sonnet,1,20,4580,843043,53212,900855,12,31990,19883,13,57905,,,0.642441,7,True,5,ok,True,Q6_sonnet_mcp_r1.md
self,Q7,src,haiku,1,177,5730,1466064,83696,1555667,21,84806,0,22,81988,,,0.344252,0,True,0,n/a,True,Q7_haiku_src_r1.md
self,Q7,src,sonnet,1,20,4449,900717,122804,1027990,9,125346,0,10,60528,,,1.075241,0,True,0,n/a,True,Q7_sonnet_src_r1.md
self,Q7,mcp,haiku,1,105,4936,900891,55092,961024,28,77523,18700,29,53226,,,0.22656,14,False,14,ok,True,Q7_haiku_mcp_r1.md
self,Q7,mcp,sonnet,1,18,6982,745810,62417,815227,12,58345,13176,13,81146,,,0.704521,9,True,3,ok,True,Q7_sonnet_mcp_r1.md
